"","Label","Type","Reference Model","02. Fix M","03. Fix M_k_t0_CV","04. Fix M_t0_CV","05. Fix M_CV","08. Fix growth","09. Fix Linf_CV","10. Fix k_CV","11. Fix CV","12. 5GTG","13. No recdevs","14. recdevs_sR45","15. recdevs_sR75","17. Dome-shaped_sel","18. Lorenzen M"
"39",NA,"Wtlen_1_Mal_GP_1",2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05
"40",NA,"Wtlen_2_Mal_GP_1",2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96
"41",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"43",NA,"SR_LN(R0)",0.897624,1.76814,1.47267,1.71501,1.56907,0.890922,1.11336,1.02269,0.835232,0.67057,1.07647,0.897624,0.897624,0.832876,1.81245
"44",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"45",NA,"SR_sigmaR",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6
"46",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",NA,"Early_InitAge_1",0.0626346,0.070624,0.0990218,0.0941962,0.0939513,0.0626472,0.0946999,0.0951747,0.0854622,0.0722144,NA,0.0626346,0.0626346,0.0685159,0.0543173
