"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68"
1959,1.15506,1.06716,1.00168,0.956542,0.927634,0.907929,0.885217,0.843157,0.771894,0.681333,0.591127,0.515698,0.44541,0.408665,0.375011,0.344192,0.315966,0.290108,0.26641,0.24468,0.224745,0.206449,0.18965,0.174223,0.160052,0.147036,0.135078,0.124093,0.114002,0.104731,0.0962147,0.0883906,0.0812027,0.0745993,0.068533,0.0629599,0.05784,0.0531365,0.0488155,0.0448458,0.041199,0.0378487,0.0347709,0.0319433,0.0293457,0.0269593,0.024767,0.022753,0.0209027,0.0192029,0.0176413,0.0162068,0.0148888,0.0136781,0.0125658,0.0115439,0.0106052,0.00974279,0.00895051,0.00822266,0.007554,0.00693971,0.00637538,0.00585694,0.00538065,0.0049431,0.00454113,0.00417185,0.0471301
1960,1.16272,1.06113,0.980375,0.920222,0.878744,0.852143,0.833926,0.812852,0.773929,0.708189,0.624813,0.541877,0.472595,0.408103,0.374393,0.343539,0.315295,0.289433,0.265744,0.244035,0.22413,0.205869,0.189109,0.173721,0.15959,0.146609,0.134686,0.123733,0.113671,0.104427,0.095935,0.0881336,0.0809666,0.0743825,0.0683337,0.0627768,0.0576719,0.052982,0.0486736,0.0447154,0.0410792,0.0377387,0.0346698,0.0318505,0.0292604,0.026881,0.024695,0.0226868,0.0208419,0.0191471,0.0175901,0.0161596,0.0148455,0.0136383,0.0125293,0.0115104,0.0105744,0.00971446,0.00892449,0.00819876,0.00753204,0.00691954,0.00635684,0.00583991,0.00536501,0.00492873,0.00452793,0.00415972,0.0469931
1961,1.18033,1.06817,0.974841,0.900651,0.845384,0.807259,0.78277,0.765938,0.746442,0.71054,0.650039,0.5734,0.497219,0.433606,0.374414,0.343475,0.315164,0.28925,0.265524,0.243791,0.223875,0.205614,0.188862,0.173486,0.15937,0.146405,0.134498,0.123559,0.113511,0.10428,0.0958,0.0880096,0.0808526,0.0742777,0.0682375,0.0626885,0.0575907,0.0529074,0.048605,0.0446525,0.0410214,0.0376855,0.034621,0.0318056,0.0292192,0.0268431,0.0246602,0.0226549,0.0208126,0.0191201,0.0175653,0.0161369,0.0148246,0.0136191,0.0125116,0.0114942,0.0105595,0.00970079,0.00891192,0.00818721,0.00752143,0.00690979,0.00634789,0.00583169,0.00535746,0.00492179,0.00452155,0.00415386,0.0469269
1962,1.20397,1.08435,0.981305,0.895567,0.827393,0.776559,0.741381,0.718598,0.702725,0.684349,0.65097,0.595181,0.524775,0.454919,0.396647,0.342466,0.314151,0.288248,0.264544,0.242842,0.222965,0.20475,0.188049,0.172727,0.158665,0.145755,0.133898,0.123008,0.113004,0.103814,0.0953715,0.0876158,0.0804909,0.0739454,0.0679322,0.062408,0.057333,0.0526707,0.0483875,0.0444527,0.0408378,0.0375169,0.0344661,0.0316633,0.0290885,0.026723,0.0245499,0.0225535,0.0207195,0.0190346,0.0174867,0.0160647,0.0147583,0.0135582,0.0124556,0.0114427,0.0105122,0.00965738,0.00887205,0.00815058,0.00748778,0.00687888,0.00631949,0.00580559,0.00533348,0.00489977,0.00450132,0.00413528,0.046717
1963,1.23203,1.10606,0.996167,0.901504,0.822725,0.760046,0.713224,0.680687,0.659443,0.644496,0.627273,0.59638,0.545067,0.480471,0.416451,0.363077,0.313467,0.287543,0.263831,0.242133,0.222269,0.204076,0.187404,0.172117,0.158094,0.145224,0.133407,0.122554,0.112586,0.10343,0.0950188,0.0872917,0.0801931,0.0736718,0.0676808,0.062177,0.0571208,0.0524758,0.0482085,0.0442882,0.0406867,0.0373781,0.0343385,0.0315461,0.0289808,0.0266241,0.024459,0.02247,0.0206428,0.0189641,0.017422,0.0160052,0.0147037,0.013508,0.0124095,0.0114004,0.0104733,0.00962164,0.00883922,0.00812042,0.00746007,0.00685342,0.0062961,0.00578411,0.00531375,0.00488164,0.00448466,0.00411997,0.0465441
1964,1.26448,1.13184,1.01612,0.915159,0.828182,0.755768,0.698086,0.654894,0.624754,0.604952,0.590946,0.574909,0.546423,0.499305,0.440077,0.381412,0.332516,0.287077,0.263332,0.241616,0.221744,0.203553,0.186891,0.171623,0.157624,0.144781,0.132994,0.122173,0.112234,0.103106,0.0947203,0.0870173,0.0799409,0.0734401,0.0674679,0.0619815,0.0569412,0.0523107,0.0480568,0.0441489,0.0405587,0.0372605,0.0342305,0.0314469,0.0288896,0.0265404,0.0243821,0.0223994,0.0205779,0.0189045,0.0173672,0.0159549,0.0146574,0.0134655,0.0123705,0.0113645,0.0104404,0.00959138,0.00881141,0.00809487,0.0074366,0.00683186,0.0062763,0.00576591,0.00529703,0.00486628,0.00447056,0.00410701,0.0463977
1965,1.30531,1.16166,1.0398,0.933489,0.840728,0.76079,0.694183,0.64105,0.601179,0.573274,0.554875,0.541838,0.526997,0.500799,0.457567,0.403267,0.349499,0.304689,0.26305,0.241292,0.221392,0.203184,0.186515,0.171248,0.157257,0.14443,0.132663,0.121862,0.111946,0.10284,0.0944753,0.0867919,0.0797337,0.0732496,0.0672929,0.0618206,0.0567934,0.052175,0.0479321,0.0440343,0.0404535,0.0371638,0.0341417,0.0313653,0.0288147,0.0264715,0.0243188,0.0223412,0.0205245,0.0188554,0.0173221,0.0159135,0.0146194,0.0134306,0.0123384,0.011335,0.0104133,0.00956649,0.00878854,0.00807387,0.0074173,0.00681413,0.00626001,0.00575095,0.00528329,0.00485365,0.00445896,0.00409636,0.0462773
1966,1.36439,1.19916,1.06719,0.955242,0.857556,0.772264,0.698653,0.637168,0.587966,0.550912,0.524882,0.507658,0.495457,0.481711,0.457664,0.418104,0.368463,0.319324,0.278378,0.240332,0.220452,0.202271,0.185635,0.170405,0.156457,0.143675,0.131955,0.121204,0.111337,0.102277,0.0939573,0.0863154,0.0792956,0.072847,0.066923,0.0614807,0.0564811,0.0518881,0.0476686,0.0437922,0.040231,0.0369594,0.0339539,0.0311928,0.0286562,0.0263259,0.0241851,0.0222184,0.0204116,0.0187517,0.0172269,0.015826,0.014539,0.0133567,0.0122706,0.0112727,0.010356,0.00951388,0.00874022,0.00802947,0.00737652,0.00677666,0.00622559,0.00571933,0.00525423,0.00482696,0.00443444,0.00407383,0.0460228
1967,1.45677,1.25344,1.10165,0.980406,0.877544,0.787741,0.709244,0.641384,0.584593,0.539071,0.504745,0.480609,0.464633,0.453333,0.440678,0.418638,0.382432,0.337016,0.292067,0.254614,0.219815,0.201632,0.185003,0.169787,0.155858,0.1431,0.131409,0.12069,0.110857,0.101832,0.0935457,0.085936,0.0789464,0.0725259,0.0666279,0.0612096,0.056232,0.0516592,0.0474583,0.043599,0.0400535,0.0367964,0.0338041,0.0310552,0.0285298,0.0262098,0.0240784,0.0221204,0.0203216,0.018669,0.0171509,0.0157562,0.0144749,0.0132978,0.0122164,0.011223,0.0103103,0.00947191,0.00870166,0.00799404,0.00734397,0.00674677,0.00619812,0.00569409,0.00523105,0.00480567,0.00441487,0.00405586,0.0458198
1968,1.58677,1.3383,1.15151,1.01206,0.900661,0.8061,0.723453,0.651095,0.588442,0.535952,0.493863,0.462133,0.439835,0.425086,0.414674,0.403057,0.382878,0.349754,0.308215,0.267105,0.232852,0.201027,0.184398,0.16919,0.155275,0.142536,0.130869,0.120177,0.110374,0.101381,0.0931279,0.0855499,0.0785907,0.0721986,0.0663269,0.0609329,0.0559778,0.0514256,0.0472437,0.0434018,0.0398724,0.03663,0.0336513,0.0309148,0.0284008,0.0260913,0.0239695,0.0220203,0.0202297,0.0185846,0.0170733,0.0156849,0.0144094,0.0132377,0.0121612,0.0111722,0.0102637,0.00942908,0.00866231,0.00795789,0.00731076,0.00671625,0.00617009,0.00566834,0.0052074,0.00478393,0.00439491,0.00403752,0.0456126
