"Year","OFL","ABC","ACL","Catch"
2011,"fill in","fill in","fill in","1.01"
2012,"fill in","fill in","fill in","0.95"
2013,"fill in","fill in","fill in","1.05"
2014,"fill in","fill in","fill in","1.04"
2015,"fill in","fill in","fill in","1.32"
2016,"fill in","fill in","fill in","0.82"
2017,"fill in","fill in","fill in","0.97"
2018,"fill in","fill in","fill in","1.24"
2019,"fill in","fill in","fill in","2.60"
2020,"fill in","fill in","fill in","0.66"
