"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 3+ Biomass (mt)","Spawning Output","Fraction Unfished"
2021,0.940088,0.859174,22.6633,1.55096,0.56472
2022,0.920771,0.841734,22.3925,1.52382,0.554837
