"Label","Total"
"TOTAL","1208.52"
"Catch","4.4839e-05"
"Equil catch","0"
"Length comp","96.6177"
"Age comp","1109.68"
"Recruitment","2.0969"
"InitEQ Regime","2.18215e-30"
"Forecast Recruitment","0"
"Parm priors","0.12239"
"Parm softbounds","2.14216e-06"
"Parm devs","0"
"Crash Pen","0"
