"","Label","Type","Reference Model","01. L","02. CL","03. CL_Fr","04. CLA_fixed","05. CLA_fixed_recs","06. RefMod_Dir","07. RefMod_McI","08. RefMod_noDWt","09. Catch67original","10. HistCatchMin","11. HistCatchMax","12. Sex=3","13. CARE_AE"
"41",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"43",NA,"SR_LN(R0)",0.897624,8.23147,1.14398,1.14398,2.47026,18.7093,0.738418,0.74674,0.897624,0.753409,0.777846,0.739618,0.887163,3.62878
"44",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"45",NA,"SR_sigmaR",0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"46",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",NA,"Early_InitAge_1",0.0626346,NA,NA,NA,NA,0.0862945,0.0710729,0.0529782,0.0626346,0.068638,0.0655432,0.0704737,0.0619174,-0.024212
"49",NA,"Main_RecrDev_1949",0.110204,NA,NA,NA,NA,0.138731,0.119914,0.0862867,0.110204,0.116835,0.11282,0.119252,0.109543,-0.0309903
"50",NA,"Main_RecrDev_1950",0.166457,NA,NA,NA,NA,0.191597,0.177107,0.122853,0.166457,0.173777,0.169372,0.17644,0.165957,-0.0329402
"51",NA,"Main_RecrDev_1951",0.205774,NA,NA,NA,NA,0.230048,0.217022,0.147483,0.205774,0.213485,0.208438,0.216576,0.205457,-0.0342669
"52",NA,"Main_RecrDev_1952",0.208906,NA,NA,NA,NA,0.235549,0.220088,0.149769,0.208906,0.216443,0.21069,0.220003,0.208772,-0.0350481
"53",NA,"Main_RecrDev_1953",0.172725,NA,NA,NA,NA,0.203192,0.183348,0.128025,0.172725,0.179691,0.173503,0.183506,0.172738,-0.0349775
"54",NA,"Main_RecrDev_1954",0.113282,NA,NA,NA,NA,0.146806,0.123414,0.0905662,0.113282,0.119796,0.113534,0.123596,0.113376,-0.0337584
"55",NA,"Main_RecrDev_1955",0.049973,NA,NA,NA,NA,0.0848481,0.0599737,0.0487457,0.049973,0.0564671,0.0504258,0.0600451,0.0501025,-0.0298986
"56",NA,"Main_RecrDev_1956",-0.00438234,NA,NA,NA,NA,0.0301649,0.00583865,0.0114331,-0.00438234,0.00259385,-0.00305494,0.00584371,-0.00424184,-0.0221435
"57",NA,"Main_RecrDev_1957",-0.0436546,NA,NA,NA,NA,-0.0107259,-0.0329552,-0.0162563,-0.0436546,-0.0357204,-0.0408893,-0.0328416,-0.0435133,-0.01024
"58",NA,"Main_RecrDev_1958",-0.0661548,NA,NA,NA,NA,-0.0356863,-0.0547782,-0.0323289,-0.0661548,-0.0568455,-0.0615025,-0.0543426,-0.0660071,0.00748386
"59",NA,"Main_RecrDev_1959",-0.0732033,NA,NA,NA,NA,-0.0457133,-0.0609621,-0.0372113,-0.0732033,-0.062197,-0.0663342,-0.0600606,-0.0730217,0.0293559
"60",NA,"Main_RecrDev_1960",-0.0680294,NA,NA,NA,NA,-0.0440312,-0.0547259,-0.0329495,-0.0680294,-0.055121,-0.0587386,-0.053337,-0.0677631,0.0469886
"61",NA,"Main_RecrDev_1961",-0.0544538,NA,NA,NA,NA,-0.0347341,-0.0398771,-0.0221332,-0.0544538,-0.0395281,-0.0426009,-0.0381004,-0.0540305,0.0518577
"62",NA,"Main_RecrDev_1962",-0.0355863,NA,NA,NA,NA,-0.0211015,-0.0195515,-0.00688113,-0.0355863,-0.0185898,-0.0210813,-0.0175278,-0.0349323,0.0452406
"63",NA,"Main_RecrDev_1963",-0.013332,NA,NA,NA,NA,-0.00421467,0.00425694,0.0115394,-0.013332,0.00571114,0.00386845,0.00637913,-0.0124077,0.04244
"64",NA,"Main_RecrDev_1964",0.0120845,NA,NA,NA,NA,0.0179449,0.0311921,0.033025,0.0120845,0.0330176,0.0319072,0.0332568,0.0132612,0.0584009
